Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Spotify Link,Song Image,Spotify URI,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),2021-11-12,['Taylor Swift'],['pop'],2012,33,193146,https://open.spotify.com/track/5YqltLsjdqFtvqE7Nrysvs,https://i.scdn.co/image/ab67616d00001e02318443aab3531a0558e79a4d,spotify:track:5YqltLsjdqFtvqE7Nrysvs,80,0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,0.716,7,1,4
As Long As You Love Me,Believe (Deluxe Edition),2012-06-15,"['Justin Bieber', 'Big Sean']","['southern hip hop', 'detroit hip hop', 'trap', 'pop rap', 'canadian pop', 'rap', 'hip hop', 'pop', 'r&b']",2012,34,229466,https://open.spotify.com/track/0pwYLVXVknPSGUQb39cePC,https://i.scdn.co/image/ab67616d00001e026c20c4638a558132ba95bc39,spotify:track:0pwYLVXVknPSGUQb39cePC,69,0.0811,0.571,0.873,0.0,0.361,-3.382,0.1,139.691,0.613,0,0,4
Turn Me On (feat. Nicki Minaj),Nothing but the Beat 2.0,2011-08-24,"['David Guetta', 'Nicki Minaj']","['pop dance', 'dance pop', 'hip pop', 'edm', 'queens hip hop', 'big room', 'rap', 'pop']",2012,35,199680,https://open.spotify.com/track/6JOlNkT0QdHeZB0wPbI9IR,https://i.scdn.co/image/ab67616d00001e02a197a2ef3ad6704d1f44aa4e,spotify:track:6JOlNkT0QdHeZB0wPbI9IR,61,0.0488,0.705,0.794,0.0,0.575,-2.266,0.0593,127.961,0.412,8,1,4
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Hands All Over,2010,"['Maroon 5', 'Christina Aguilera']","['pop', 'dance pop']",2012,36,201160,https://open.spotify.com/track/7LcfRTgAVTs5pQGEQgUEzN,https://i.scdn.co/image/ab67616d00001e02ce70cb2d7063cf869f9f1239,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,74,0.0111,0.722,0.758,0.0,0.308,-4.477,0.0471,128.047,0.62,11,0,4
Blow Me (One Last Kiss) [Pink],Maximum Karaoke Songs 2012,2012-10-01,['Pop 40 Chart Instrumentals'],[],2012,37,231915,https://open.spotify.com/track/5VglVrejGi2s3k7hN31og3,https://i.scdn.co/image/ab67616d00001e0265df5697f06961d7423bd2bf,spotify:track:5VglVrejGi2s3k7hN31og3,0,3.87e-05,0.609,0.58,0.856,0.336,-10.333,0.0315,113.996,0.596,7,1,4
Good Time,Upbeat and Clean Music For Kids,2021-11-12,"['Owl City', 'Carly Rae Jepsen']","['pop', 'dance pop', 'canadian pop', 'indietronica']",2012,38,205647,https://open.spotify.com/track/0V1MeRzoASQXtFZU3qt71e,https://i.scdn.co/image/ab67616d00001e02869985d3faa34148235045d3,spotify:track:0V1MeRzoASQXtFZU3qt71e,11,0.0304,0.569,0.899,3.86e-06,0.424,-3.757,0.15,126.054,0.625,3,1,4
Give Your Heart a Break,Unbroken,2011-01-01,['Demi Lovato'],"['pop', 'post-teen pop']",2012,39,205346,https://open.spotify.com/track/3sP3c86WFjOzHHnbhhZcLA,https://i.scdn.co/image/ab67616d00001e0283fc43cfc25d836e17f8cc30,spotify:track:3sP3c86WFjOzHHnbhhZcLA,73,0.23,0.651,0.695,0.0,0.144,-3.218,0.0487,123.008,0.569,6,1,4
Ni**as In Paris,Watch The Throne (Deluxe),2011-08-08,"['JAY-Z', 'Kanye West']","['chicago rap', 'east coast hip hop', 'gangster rap', 'rap', 'hip hop', 'pop rap']",2012,40,219333,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007,https://i.scdn.co/image/ab67616d00001e02699bfca9512ee8d1fbf126a7,spotify:track:4Li2WHPkuyCdtmokzW2007,86,0.127,0.789,0.858,0.0,0.349,-5.542,0.311,140.022,0.775,1,1,4
The One That Got Away,Teenage Dream,2010-01-01,['Katy Perry'],['pop'],2012,41,227333,https://open.spotify.com/track/6hkOqJ5mE093AQf2lbZnsG,https://i.scdn.co/image/ab67616d00001e02d20c38f295039520d688a888,spotify:track:6hkOqJ5mE093AQf2lbZnsG,74,0.000812,0.691,0.795,1.02e-06,0.156,-4.021,0.0355,133.971,0.876,1,0,4
Feel So Close - Radio Edit,18 Months,2012-10-29,['Calvin Harris'],"['electro house', 'dance pop', 'house', 'uk dance', 'edm', 'progressive house', 'pop']",2012,42,206413,https://open.spotify.com/track/1gihuPhrLraKYrJMAEONyc,https://i.scdn.co/image/ab67616d00001e02dcef905cb144d4867119850b,spotify:track:1gihuPhrLraKYrJMAEONyc,83,0.000972,0.707,0.924,0.00703,0.204,-2.842,0.031,127.937,0.919,7,1,4
Someone Like You,21,2011-01-24,['Adele'],"['pop', 'british soul', 'pop soul', 'uk pop']",2012,43,285240,https://open.spotify.com/track/1zwMYTA5nlNjZxYrvBB2pV,https://i.scdn.co/image/ab67616d00001e022118bf9b198b05a95ded6300,spotify:track:1zwMYTA5nlNjZxYrvBB2pV,81,0.893,0.556,0.319,0.0,0.0996,-8.251,0.0281,135.187,0.294,9,1,4
Scream,Looking 4 Myself (Expanded Edition),2012-06-12,['Usher'],"['dance pop', 'south carolina hip hop', 'urban contemporary', 'atl hip hop', 'contemporary r&b', 'rap', 'pop', 'r&b']",2012,44,234693,https://open.spotify.com/track/12eMQUn2GzfsfsQLH53M19,https://i.scdn.co/image/ab67616d00001e0267904c75eaa75db6b1b2cf6a,spotify:track:12eMQUn2GzfsfsQLH53M19,69,0.00117,0.616,0.862,0.0,0.179,-5.18,0.0973,127.992,0.569,7,0,4
Rack City,Careless World: Rise Of The Last King,2012-01-01,['Tyga'],"['pop rap', 'trap', 'rap', 'hip hop']",2012,45,203200,https://open.spotify.com/track/0srwKuJPH8yBzzFUJMBQM2,https://i.scdn.co/image/ab67616d00001e02057041c8045ff3457b99a218,spotify:track:0srwKuJPH8yBzzFUJMBQM2,68,0.0373,0.929,0.339,1.96e-05,0.187,-10.881,0.371,98.986,0.273,1,1,4
Domino,Who You Are (Platinum Edition),2011-01-01,['Jessie J'],"['pop', 'dance pop']",2012,46,231693,https://open.spotify.com/track/6MAdEUilV2p9RQUqE5bMAK,https://i.scdn.co/image/ab67616d00001e029900b995cd1a81c35c574ab0,spotify:track:6MAdEUilV2p9RQUqE5bMAK,68,0.0115,0.757,0.547,0.0,0.0445,-4.573,0.0355,126.977,0.793,7,1,4
Gangnam Style (강남스타일),Gangnam Style (강남스타일),2012-01-01,['PSY'],"['korean old school hip hop', 'k-rap']",2012,47,219493,https://open.spotify.com/track/03UrZgTINDqvnUMbbIMhql,https://i.scdn.co/image/ab67616d00001e026cfc57e5358c5e39e79bccbd,spotify:track:03UrZgTINDqvnUMbbIMhql,75,0.00417,0.727,0.937,0.0,0.091,-2.871,0.286,132.067,0.749,11,0,4
International Love (feat. Chris Brown),Planet Pit (Deluxe Version),2011-06-17,"['Pitbull', 'Chris Brown']","['dance pop', 'rap', 'miami hip hop', 'pop', 'r&b']",2012,48,227280,https://open.spotify.com/track/62zFEHfAYl5kdHYOivj4BC,https://i.scdn.co/image/ab67616d00001e021dc7483a9fcfce54822a2f19,spotify:track:62zFEHfAYl5kdHYOivj4BC,78,0.0124,0.67,0.855,0.0,0.335,-3.035,0.0499,120.05,0.648,0,0,4
Home,The World From The Side Of The Moon,2012-01-01,['Phillip Phillips'],"['folk-pop', 'neo mellow', 'pop rock']",2012,49,210173,https://open.spotify.com/track/1EAgPzRbK9YmdOESSMUm6P,https://i.scdn.co/image/ab67616d00001e025c75f5e02580f4c0c3e80e8e,spotify:track:1EAgPzRbK9YmdOESSMUm6P,73,0.0256,0.606,0.826,1.56e-05,0.117,-6.04,0.0307,121.04,0.322,0,1,4
Without You (feat. Usher),Nothing but the Beat 2.0,2011-08-24,"['David Guetta', 'Usher']","['pop dance', 'dance pop', 'edm', 'south carolina hip hop', 'big room', 'urban contemporary', 'atl hip hop', 'contemporary r&b', 'rap', 'pop', 'r&b']",2012,50,208133,https://open.spotify.com/track/1tAutlhI9FwnKn7fVgmd5P,https://i.scdn.co/image/ab67616d00001e02a197a2ef3ad6704d1f44aa4e,spotify:track:1tAutlhI9FwnKn7fVgmd5P,66,0.227,0.608,0.614,3.82e-06,0.157,-3.727,0.0285,127.885,0.402,2,1,4
Ass Back Home (feat. Neon Hitch),The Papercut Chronicles II,2011-11-11,"['Gym Class Heroes', 'Neon Hitch']","['pop rap', 'dance pop', 'electropop']",2012,51,222213,https://open.spotify.com/track/3bfqkspKABT4pPicm6wC9F,https://i.scdn.co/image/ab67616d00001e0218b8088fe0c3dbf78398b55a,spotify:track:3bfqkspKABT4pPicm6wC9F,63,0.134,0.716,0.838,0.0,0.148,-4.289,0.0513,130.034,0.646,10,1,4
Wanted,Hunter Hayes (Encore),2011,['Hunter Hayes'],"['country road', 'contemporary country', 'modern country rock', 'country']",2012,52,228840,https://open.spotify.com/track/0p1BcEcYVO3uk4KDf3gzkY,https://i.scdn.co/image/ab67616d00001e022a0070a89eb69a9cc7914f49,spotify:track:0p1BcEcYVO3uk4KDf3gzkY,69,0.268,0.421,0.476,0.0,0.0816,-7.692,0.0298,169.784,0.3,0,1,4
Drunk On You,Tailgates & Tanlines,2011-01-01,['Luke Bryan'],"['country road', 'contemporary country', 'country']",2012,53,213546,https://open.spotify.com/track/3kv6omImmKEfOVJWjstusF,https://i.scdn.co/image/ab67616d00001e02dab325d38db91d858446d4b4,spotify:track:3kv6omImmKEfOVJWjstusF,68,0.178,0.558,0.872,0.0,0.173,-4.401,0.0449,143.971,0.472,9,1,4
No Lie,Based On A T.R.U. Story (Deluxe),2012-01-01,"['2 Chainz', 'Drake']","['southern hip hop', 'toronto rap', 'canadian hip hop', 'trap', 'atl hip hop', 'rap', 'canadian pop', 'hip hop', 'pop rap']",2012,54,237826,https://open.spotify.com/track/6j9iyrrmqWlQZ5SD1hSTaq,https://i.scdn.co/image/ab67616d00001e020bcccf7c7e65f294c2430f9b,spotify:track:6j9iyrrmqWlQZ5SD1hSTaq,63,0.0172,0.634,0.665,0.0,0.365,-5.984,0.176,131.108,0.611,6,0,4
Want U Back,Sticks & Stones,2012-10-02,['Cher Lloyd'],"['pop', 'dance pop', 'post-teen pop', 'talent show']",2012,55,214573,https://open.spotify.com/track/6E11E0lT5Zy7yb6iT3y8DN,https://i.scdn.co/image/ab67616d00001e02392d37cdeccdcdb378fed318,spotify:track:6E11E0lT5Zy7yb6iT3y8DN,65,0.0562,0.694,0.891,0.0,0.561,-2.94,0.0949,97.939,0.563,9,1,4
Don't Wake Me Up (Chris Brown),Maximum Karaoke Songs 2012,2012-10-01,['Pop 40 Chart Instrumentals'],[],2012,56,202788,https://open.spotify.com/track/75mDFUo4lEfG6QhplI2hnd,https://i.scdn.co/image/ab67616d00001e0265df5697f06961d7423bd2bf,spotify:track:75mDFUo4lEfG6QhplI2hnd,0,0.00175,0.717,0.53,0.863,0.109,-9.863,0.0328,127.987,0.145,7,0,4
Dance (A$$) Remix,Finally Famous,2011-01-01,"['Big Sean', 'Nicki Minaj']","['pop', 'hip pop', 'southern hip hop', 'queens hip hop', 'detroit hip hop', 'trap', 'rap', 'hip hop', 'pop rap', 'r&b']",2012,57,220293,https://open.spotify.com/track/3ZAMtgYJFoHwJjFkhkXqKr,https://i.scdn.co/image/ab67616d00001e025634a639afe491a0bffcd54b,spotify:track:3ZAMtgYJFoHwJjFkhkXqKr,63,0.0276,0.787,0.73,0.00157,0.0828,-6.788,0.35,159.825,0.739,11,0,4
Springsteen,Chief,2011-01-01,['Eric Church'],"['country road', 'contemporary country', 'country']",2012,58,263386,https://open.spotify.com/track/05ZACkzW8YbRq3eFgIfSNB,https://i.scdn.co/image/ab67616d00001e02c1bc36faa8afff2b5273490b,spotify:track:05ZACkzW8YbRq3eFgIfSNB,76,0.1,0.692,0.809,9.77e-05,0.185,-5.935,0.0255,104.023,0.927,2,1,4
Brokenhearted,Hello,2012-05-07,['Karmin'],"['viral pop', 'post-teen pop']",2012,59,227146,https://open.spotify.com/track/4urcG6Nfubqsuqy3juMjBi,https://i.scdn.co/image/ab67616d00001e02cc50268bd94de0934dad0ca0,spotify:track:4urcG6Nfubqsuqy3juMjBi,63,0.00765,0.765,0.765,3.82e-06,0.0527,-2.732,0.0585,120.001,0.886,1,0,4
Not Over You,Sweeter,2011-09-16,['Gavin DeGraw'],"['neo mellow', 'pop rock']",2012,60,218520,https://open.spotify.com/track/6j7hih15xG2cdYwIJnQXsq,https://i.scdn.co/image/ab67616d00001e026b3b5436a48203e35b89b9ba,spotify:track:6j7hih15xG2cdYwIJnQXsq,68,0.255,0.63,0.894,0.0,0.181,-4.592,0.0544,142.051,0.364,10,1,4
Stereo Hearts (feat. Adam Levine),The Papercut Chronicles II,2011-11-11,"['Gym Class Heroes', 'Adam Levine']","['pop rap', 'dance pop', 'deep talent show']",2012,61,210960,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz,https://i.scdn.co/image/ab67616d00001e0218b8088fe0c3dbf78398b55a,spotify:track:0qOnSQQF0yzuPWsXrQ9paz,83,0.0319,0.646,0.795,0.0,0.267,-3.293,0.0976,89.99,0.796,9,1,4
"Back in Time - featured in ""Men In Black 3""",Global Warming: Meltdown (Deluxe Version),2012,['Pitbull'],"['pop', 'dance pop', 'miami hip hop']",2012,62,207760,https://open.spotify.com/track/3eQlGeyuSibgAGPEJugaDW,https://i.scdn.co/image/ab67616d00001e02f2486b438645e97b523e4f90,spotify:track:3eQlGeyuSibgAGPEJugaDW,53,0.00205,0.729,0.911,1.39e-06,0.295,-4.5,0.045,127.087,0.74,0,1,4
Work Out,Cole World: The Sideline Story,2011-09-27,['J. Cole'],"['north carolina hip hop', 'conscious hip hop', 'rap', 'hip hop']",2012,63,235320,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO,https://i.scdn.co/image/ab67616d00001e0299da48a530f6ca2ef86da3cc,spotify:track:2wAJTrFhCnQyNSD3oUgTZO,83,0.0531,0.831,0.427,0.0,0.307,-6.903,0.106,93.004,0.216,2,1,4
Rumour Has It,21,2011-01-24,['Adele'],"['pop', 'british soul', 'pop soul', 'uk pop']",2012,64,223266,https://open.spotify.com/track/2A73XBDBQgmdXO8VsXPWIs,https://i.scdn.co/image/ab67616d00001e022118bf9b198b05a95ded6300,spotify:track:2A73XBDBQgmdXO8VsXPWIs,69,0.615,0.612,0.749,0.0,0.167,-5.014,0.0446,120.052,0.574,0,1,4
Let's Go (feat. Ne-Yo),18 Months,2012-10-29,"['Calvin Harris', 'Ne-Yo']","['electro house', 'dance pop', 'house', 'uk dance', 'edm', 'progressive house', 'urban contemporary', 'pop', 'r&b']",2012,65,232800,https://open.spotify.com/track/4wkQmYpAaMe41Rc3sYZ7Vz,https://i.scdn.co/image/ab67616d00001e02dcef905cb144d4867119850b,spotify:track:4wkQmYpAaMe41Rc3sYZ7Vz,68,0.00777,0.71,0.882,0.00771,0.294,-2.932,0.0595,128.016,0.875,4,0,4
Good Girl,Blown Away,2012-05-01,['Carrie Underwood'],"['dance pop', 'country dawn', 'classic oklahoma country', 'contemporary country', 'country']",2012,66,205560,https://open.spotify.com/track/20DfkHC5grnKNJCzZQB6KC,https://i.scdn.co/image/ab67616d00001e0224e1589fb3eab8ae8831f388,spotify:track:20DfkHC5grnKNJCzZQB6KC,63,0.0286,0.617,0.839,0.0,0.19,-2.849,0.0655,128.91,0.741,0,0,4
Pontoon,Tornado,2013-01-01,['Little Big Town'],"['country road', 'contemporary country', 'country', 'country dawn']",2012,67,212320,https://open.spotify.com/track/2Gy3XMLbBxACZ4tXdFRGr7,https://i.scdn.co/image/ab67616d00001e02293f8670a31be4d4327dc0f6,spotify:track:2Gy3XMLbBxACZ4tXdFRGr7,66,0.413,0.721,0.819,0.0,0.196,-5.715,0.0269,96.02,0.867,9,1,4
Ho Hey,The Lumineers,2012-04-03,['The Lumineers'],"['stomp and holler', 'folk-pop', 'modern rock', 'neo mellow']",2012,68,163133,https://open.spotify.com/track/0W4Kpfp1w2xkY3PrV714B7,https://i.scdn.co/image/ab67616d00001e0273cd0c903b9929d5ce7b26dd,spotify:track:0W4Kpfp1w2xkY3PrV714B7,77,0.794,0.685,0.466,2.06e-06,0.0915,-9.074,0.0304,79.936,0.353,0,1,4
Paradise,Mylo Xyloto,2011-10-24,['Coldplay'],"['pop', 'permanent wave']",2012,69,278719,https://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D,https://i.scdn.co/image/ab67616d00001e02de0cd11d7b31c3bd1fd5983d,spotify:track:6nek1Nin9q48AVZcWs9e9D,86,0.0509,0.449,0.585,8.75e-05,0.0833,-6.761,0.0268,139.631,0.212,5,1,4
Blown Away,Blown Away,2012-05-01,['Carrie Underwood'],"['dance pop', 'country dawn', 'classic oklahoma country', 'contemporary country', 'country']",2012,70,240133,https://open.spotify.com/track/0vFMQi8ZnOM2y8cuReZTZ2,https://i.scdn.co/image/ab67616d00001e0224e1589fb3eab8ae8831f388,spotify:track:0vFMQi8ZnOM2y8cuReZTZ2,66,0.0909,0.531,0.843,0.0,0.0283,-2.569,0.0429,136.991,0.392,9,0,4
Rolling in the Deep,21,2011-01-24,['Adele'],"['pop', 'british soul', 'pop soul', 'uk pop']",2012,71,228093,https://open.spotify.com/track/1c8gk2PeTE04A1pIDH9YMk,https://i.scdn.co/image/ab67616d00001e022118bf9b198b05a95ded6300,spotify:track:1c8gk2PeTE04A1pIDH9YMk,82,0.138,0.73,0.769,0.0,0.0473,-5.114,0.0298,104.948,0.507,8,1,4
Climax,Looking 4 Myself (Expanded Edition),2012-06-12,['Usher'],"['dance pop', 'south carolina hip hop', 'urban contemporary', 'atl hip hop', 'contemporary r&b', 'rap', 'pop', 'r&b']",2012,72,232906,https://open.spotify.com/track/5pyVqlqThcxI7tPDjHIzPh,https://i.scdn.co/image/ab67616d00001e0267904c75eaa75db6b1b2cf6a,spotify:track:5pyVqlqThcxI7tPDjHIzPh,63,0.547,0.647,0.478,2.69e-05,0.156,-8.837,0.0782,135.877,0.333,8,1,4
"Work Hard, Play Hard",O.N.I.F.C. (Deluxe),2012-12-04,['Wiz Khalifa'],"['southern hip hop', 'trap', 'rap', 'hip hop', 'pittsburgh rap', 'pop rap']",2012,73,219026,https://open.spotify.com/track/1ms5tNNdPouTtcD2oVF9Oz,https://i.scdn.co/image/ab67616d00001e02cfb814f9b46326d2ace27218,spotify:track:1ms5tNNdPouTtcD2oVF9Oz,62,0.0409,0.787,0.666,1.91e-05,0.296,-4.475,0.0485,140.008,0.485,11,1,4
Let Me Love You (Until You Learn To Love Yourself),R.E.D. (Deluxe Edition),2012-01-01,['Ne-Yo'],"['pop', 'dance pop', 'r&b', 'urban contemporary']",2012,74,251626,https://open.spotify.com/track/4kte3OcW800TPvOVgrLLj8,https://i.scdn.co/image/ab67616d00001e0214f5c10de370e6d48d142629,spotify:track:4kte3OcW800TPvOVgrLLj8,70,0.248,0.658,0.677,0.0,0.368,-6.628,0.0393,124.91,0.248,5,1,4
Pound The Alarm,Pink Friday ... Roman Reloaded,2011-01-01,['Nicki Minaj'],"['pop', 'hip pop', 'rap', 'queens hip hop']",2012,75,205640,https://open.spotify.com/track/0LohatbcUXRauoeMlR1jnS,https://i.scdn.co/image/ab67616d00001e0285235715597dcd07bb9e0f84,spotify:track:0LohatbcUXRauoeMlR1jnS,63,0.0403,0.728,0.858,4.26e-06,0.0241,-3.686,0.0609,125.054,0.591,9,1,4
Come Over,Welcome To The Fishbowl,2012-06-19,['Kenny Chesney'],"['country road', 'contemporary country', 'country']",2012,76,248426,https://open.spotify.com/track/6BCrbWBpb8d6KWmEqZ41tr,https://i.scdn.co/image/ab67616d00001e0224e2c3f5a4275b3cc039e8ca,spotify:track:6BCrbWBpb8d6KWmEqZ41tr,58,0.1,0.466,0.704,2.71e-05,0.0744,-7.169,0.0353,176.043,0.481,1,1,4
Heart Attack,Chapter V (Deluxe),2012-08-17,['Trey Songz'],"['dance pop', 'southern hip hop', 'trap', 'urban contemporary', 'r&b']",2012,77,233146,https://open.spotify.com/track/25CA8QVJQrh5R05UUCaODM,https://i.scdn.co/image/ab67616d00001e024f85a7199d1ac1a876d46f58,spotify:track:25CA8QVJQrh5R05UUCaODM,56,0.0593,0.608,0.863,0.0,0.228,-4.87,0.131,150.029,0.476,11,1,4
Drank in My Cup,Drank in My Cup,2011-09-16,['Kirko Bangz'],"['dirty south rap', 'trap', 'southern hip hop']",2012,78,232160,https://open.spotify.com/track/3m8CQnnfJJp4eQMWWl3zay,https://i.scdn.co/image/ab67616d00001e02fa61a76881041d2d279fe5cb,spotify:track:3m8CQnnfJJp4eQMWWl3zay,65,0.0114,0.451,0.632,0.0,0.198,-7.98,0.297,132.89,0.234,8,0,4
Birthday Cake,Talk That Talk,2011-11-19,['Rihanna'],"['pop', 'barbadian pop', 'urban contemporary']",2012,79,78200,https://open.spotify.com/track/4EfN6bixdOOgoLYR5C4cWo,https://i.scdn.co/image/ab67616d00001e021c5eacf6965d328c2c795cef,spotify:track:4EfN6bixdOOgoLYR5C4cWo,61,0.32,0.702,0.826,0.000227,0.355,-6.498,0.0529,80.014,0.329,3,1,4
So Good,Strange Clouds,2012-04-27,['B.o.B'],"['dance pop', 'southern hip hop', 'atl hip hop', 'rap', 'pop rap']",2012,80,213253,https://open.spotify.com/track/28GUjBGqZVcAV4PHSYzkj2,https://i.scdn.co/image/ab67616d00001e02a191830c8b300bc71c2faac7,spotify:track:28GUjBGqZVcAV4PHSYzkj2,66,0.0403,0.66,0.9,0.0,0.219,-5.02,0.14,85.51,0.591,7,1,4
50 Ways to Say Goodbye,California 37,2012-04-17,['Train'],"['pop', 'dance pop', 'neo mellow', 'pop rock']",2012,81,247946,https://open.spotify.com/track/2NniAhAtkRACaMeYt48xlD,https://i.scdn.co/image/ab67616d00001e02bde344cc54eedc35050f4c61,spotify:track:2NniAhAtkRACaMeYt48xlD,69,0.000284,0.591,0.935,0.000278,0.142,-2.664,0.0478,140.043,0.736,6,1,4
Red Solo Cup,Clancy's Tavern,2011-10-21,['Toby Keith'],"['country road', 'classic oklahoma country', 'contemporary country', 'country']",2012,82,223386,https://open.spotify.com/track/4YKAOXyqkKZ5gOZR0AmVMN,https://i.scdn.co/image/ab67616d00001e0231b5266ec683455e35d31860,spotify:track:4YKAOXyqkKZ5gOZR0AmVMN,67,0.287,0.535,0.56,0.0,0.209,-6.586,0.0901,164.17,0.785,4,1,4
Love You Like A Love Song,When The Sun Goes Down,2011-01-01,['Selena Gomez & The Scene'],['pop'],2012,83,188453,https://open.spotify.com/track/0laYHRpNTS6i8FXdupHkJ4,https://i.scdn.co/image/ab67616d00001e021c8193de8d62b2ffa49a09db,spotify:track:0laYHRpNTS6i8FXdupHkJ4,83,0.0761,0.858,0.678,0.0,0.0741,-3.87,0.0469,117.009,0.922,1,0,4
Turn Up the Music,Fortune (Expanded Edition),2012-07-03,['Chris Brown'],"['r&b', 'rap']",2012,84,227973,https://open.spotify.com/track/1RMRkCn07y2xtBip9DzwmC,https://i.scdn.co/image/ab67616d00001e02781583ade2f00c2966a35965,spotify:track:1RMRkCn07y2xtBip9DzwmC,66,0.000238,0.594,0.841,2.22e-06,0.156,-5.792,0.102,129.925,0.643,1,1,4
Die Young,Warrior (Expanded Edition),2012-11-30,['Kesha'],"['pop', 'dance pop']",2012,85,211920,https://open.spotify.com/track/7EQGXaVSyEDsCWKmUcfpLk,https://i.scdn.co/image/ab67616d00001e0276c5c62197115a22b23ff950,spotify:track:7EQGXaVSyEDsCWKmUcfpLk,80,0.00498,0.711,0.7,0.000125,0.215,-4.805,0.046,128.001,0.801,1,0,4
5 O'Clock (feat. Lily Allen & Wiz Khalifa),Revolver (Expanded Edition),2011-12-06,"['T-Pain', 'Lily Allen', 'Wiz Khalifa']","['dance pop', 'southern hip hop', 'trap', 'electropop', 'gangster rap', 'urban contemporary', 'rap', 'hip hop', 'pittsburgh rap', 'pop rap', 'r&b']",2012,86,281280,https://open.spotify.com/track/42EMFjvFtOki8MA0JNZqVK,https://i.scdn.co/image/ab67616d00001e020e39c79a29ace0bf642b8415,spotify:track:42EMFjvFtOki8MA0JNZqVK,60,0.0697,0.523,0.742,0.0,0.102,-5.495,0.227,83.066,0.353,7,0,4
A Thousand Years,A Thousand Years,2011-10-18,['Christina Perri'],['pop'],2012,87,285120,https://open.spotify.com/track/6lanRgr6wXibZr8KgzXxBl,https://i.scdn.co/image/ab67616d00001e023dea4a2ccd58ad1f8e4dbb03,spotify:track:6lanRgr6wXibZr8KgzXxBl,82,0.309,0.421,0.407,0.000961,0.11,-7.445,0.0267,139.028,0.161,10,1,3
Take A Little Ride,Night Train,2012-10-16,['Jason Aldean'],"['country road', 'contemporary country', 'modern country rock', 'country']",2012,88,187613,https://open.spotify.com/track/2o5mwv7hvas1jdUg14Nihv,https://i.scdn.co/image/ab67616d00001e0229506209c1bdebd2de7ee5b4,spotify:track:2o5mwv7hvas1jdUg14Nihv,61,0.044,0.472,0.866,0.0,0.213,-3.771,0.0413,163.867,0.775,2,1,4
You Da One,Talk That Talk,2011-11-19,['Rihanna'],"['pop', 'barbadian pop', 'urban contemporary']",2012,89,200013,https://open.spotify.com/track/3Yt9lRtS5V4nbJnwcgFgvC,https://i.scdn.co/image/ab67616d00001e021c5eacf6965d328c2c795cef,spotify:track:3Yt9lRtS5V4nbJnwcgFgvC,71,0.503,0.702,0.715,2.44e-05,0.126,-5.377,0.0425,127.05,0.863,5,0,4
We Run The Night,We Run The Night,2011-01-01,"['Havana Brown', 'Pitbull']","['dance pop', 'miami hip hop', 'pop', 'australian dance', 'australian pop']",2012,90,228200,https://open.spotify.com/track/0mtPNQl5vePVwiI9Vykp7L,https://i.scdn.co/image/ab67616d00001e02b86d4ead1dc78f37030f394a,spotify:track:0mtPNQl5vePVwiI9Vykp7L,56,0.00482,0.697,0.861,1.83e-06,0.41,-4.389,0.144,127.023,0.703,9,0,4
It's Time,Night Visions,2012-09-04,['Imagine Dragons'],"['pop', 'rock', 'modern rock']",2012,91,237986,https://open.spotify.com/track/6BtmXhTJMM9sBTHeYYASGz,https://i.scdn.co/image/ab67616d00001e02b2b2747c89d2157b0b29fb6a,spotify:track:6BtmXhTJMM9sBTHeYYASGz,69,0.0162,0.656,0.884,0.0,0.145,-4.748,0.0372,105.009,0.86,2,1,4
Cashing Out,Cashtape Vol 1.,2022-02-24,"['cashkee', 'Jeffff']",[],2012,92,210835,https://open.spotify.com/track/6Lj4IGDDxnfLOi7z9S0Opp,https://i.scdn.co/image/ab67616d00001e02561f5a113bc2983f7095a3bd,spotify:track:6Lj4IGDDxnfLOi7z9S0Opp,0,0.52,0.719,0.29,0.0307,0.0867,-18.884,0.226,110.029,0.0676,4,0,4
I Don't Want This Night To End,Tailgates & Tanlines,2011-01-01,['Luke Bryan'],"['country road', 'contemporary country', 'country']",2012,93,219973,https://open.spotify.com/track/7c1KTn1z8Gw8ouYdcF4qaG,https://i.scdn.co/image/ab67616d00001e02dab325d38db91d858446d4b4,spotify:track:7c1KTn1z8Gw8ouYdcF4qaG,73,0.0275,0.616,0.728,0.0,0.228,-4.02,0.0278,111.934,0.375,9,0,4
Diamonds,Unapologetic (Edited Version),2012-01-01,['Rihanna'],"['pop', 'barbadian pop', 'urban contemporary']",2012,94,225146,https://open.spotify.com/track/1z9kQ14XBSN0r2v6fx4IdG,https://i.scdn.co/image/ab67616d00001e02e24cbbd5cef05ca77ec67df6,spotify:track:1z9kQ14XBSN0r2v6fx4IdG,75,0.00125,0.564,0.71,0.0,0.109,-4.92,0.0461,91.972,0.393,11,0,4
