Rank,Song,Artist,Year
97,The Battle Hymn of the Republic,Mormon Tabernacle Choir,1959
98,Bongo Rock,Preston Epps,1959
99,In the Mood,Ernie Fields,1959
100,Seven Little Girls Sitting in the Back Seat,Paul Evans,1959
1,Theme from A Summer Place,Percy Faith,1960
2,He'll Have to Go,Jim Reeves,1960
3,Cathy's Clown,The Everly Brothers,1960
4,Running Bear,Johnny Preston,1960
5,Teen Angel,Mark Dinning,1960
6,I'm Sorry,Brenda Lee,1960
7,It's Now or Never,Elvis Presley,1960
8,Handy Man,Jimmy Jones,1960
9,Stuck on You,Elvis Presley,1960
10,The Twist,Chubby Checker,1960
11,Everybody's Somebody's Fool,Connie Francis,1960
12,Wild One,Bobby Rydell,1960
13,Greenfields,The Brothers Four,1960
14,What in the World's Come Over You,Jack Scott,1960
15,El Paso,Marty Robbins,1960
16,Alley Oop,The Hollywood Argyles,1960
17,My Heart Has a Mind of Its Own,Connie Francis,1960
18,Sweet Nothin's,Brenda Lee,1960
19,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1960
20,Only the Lonely,Roy Orbison,1960
21,Where or When,Dion and the Belmonts,1960
22,Sixteen Reasons,Connie Stevens,1960
23,Puppy Love,Paul Anka,1960
24,Why,Frankie Avalon,1960
25,"Walk, Don't Run",The Ventures,1960
26,Save the Last Dance for Me,The Drifters,1960
27,Baby (You've Got What It Takes),Dinah Washington & Brook Benton,1960
28,Sink the Bismarck,Johnny Horton,1960
29,Chain Gang,Sam Cooke,1960
30,Let It Be Me,The Everly Brothers,1960
31,Good Timin',Jimmy Jones,1960
32,Beyond the Sea,Bobby Darin,1960
33,"Go, Jimmy, Go",Jimmy Clanton,1960
34,Night,Jackie Wilson,1960
35,Burning Bridges,Jack Scott,1960
36,The Big Hurt,Toni Fisher,1960
37,Because They're Young,Duane Eddy,1960
38,Lonely Blue Boy,Conway Twitty,1960
39,Pretty Blue Eyes,Steve Lawrence,1960
40,Way Down Yonder in New Orleans,Freddy Cannon,1960
41,Paper Roses,Anita Bryant,1960
42,Mr. Custer,Larry Verne,1960
43,I Want to Be Wanted,Brenda Lee,1960
44,Mule Skinner Blues,The Fendermen,1960
45,Cradle of Love,Johnny Preston,1960
46,You Got What It Takes,Marv Johnson,1960
47,"Please Help Me, I'm Falling",Hank Locklin,1960
48,Love You So,Ron Holden,1960
49,Finger Poppin' Time,Hank Ballard & The Midnighters,1960
50,Harbor Lights,The Platters,1960
51,Let the Little Girl Dance,Billy Bland,1960
52,He'll Have to Stay,Jeanne Black,1960
53,Theme from The Apartment,Ferrante & Teicher,1960
54,Volare,Bobby Rydell,1960
55,A Million to One,Jimmy Charles,1960
56,The Village of St. Bernadette,Andy Williams,1960
57,White Silver Sands,Bill Black's Combo,1960
58,The Old Lamp-Lighter,The Browns,1960
59,Devil or Angel,Bobby Vee,1960
60,Down by the Station,The Four Preps,1960
61,Forever,The Little Dippers,1960
62,Image of a Girl,The Safaris & The Phantom's Band,1960
63,Kiddio,Brook Benton,1960
64,Mission Bell,Donnie Brooks,1960
65,I Love the Way You Love,Marv Johnson,1960
66,It's Time to Cry,Paul Anka,1960
67,Tell Laura I Love Her,Ray Peterson,1960
68,Mama,Connie Francis,1960
69,Footsteps,Steve Lawrence,1960
70,So Sad,The Everly Brothers,1960
71,That's All You Gotta Do,Brenda Lee,1960
72,Walking to New Orleans,Fats Domino,1960
73,Among My Souvenirs,Connie Francis,1960
74,Swingin' School,Bobby Rydell,1960
75,A Rockin' Good Way (To Mess Around and Fall in Love),Dinah Washington & Brook Benton,1960
76,Stairway to Heaven,Neil Sedaka,1960
77,My Home Town,Paul Anka,1960
78,Georgia on My Mind,Ray Charles,1960
79,Cherry Pie,Skip and Flip,1960
80,Wonderful World,Sam Cooke,1960
81,Tracy's Theme,Spencer Ross,1960
82,Lady Luck,Lloyd Price,1960
83,Step by Step,The Crests,1960
84,Happy-Go-Lucky Me,Paul Evans,1960
85,Young Emotions,Ricky Nelson,1960
86,Dreamin',Johnny Burnette,1960
87,Poetry in Motion,Johnny Tillotson,1960
88,O Dio Mio,Annette Funicello,1960
89,You Talk Too Much,Joe Jones,1960
90,Beatnik Fly,Johnny and the Hurricanes,1960
91,When Will I Be Loved,The Everly Brothers,1960
92,Let's Think About Living,Bob Luman,1960
93,Heartaches by the Number,Guy Mitchell,1960
94,My Little Corner of the World,Anita Bryant,1960
95,Doggin' Around,Jackie Wilson,1960
96,Little Bitty Girl,Bobby Rydell,1960
97,Money (That's What I Want),Barrett Strong,1960
98,Stay,Maurice Williams and the Zodiacs,1960
99,Lonely Weekends,Charlie Rich,1960
100,Sandy,Larry Hall,1960
1,Tossin' and Turnin',Bobby Lewis,1961
2,I Fall to Pieces,Patsy Cline,1961
3,Michael,The Highwaymen,1961
4,Crying,Roy Orbison,1961
5,Runaway,Del Shannon,1961
6,My True Story,The Jive Five,1961
7,Pony Time,Chubby Checker,1961
8,Wheels,The String-A-Longs,1961
9,Raindrops,Dee Clark,1961
10,Wooden Heart,Joe Dowell,1961
11,Calcutta,Lawrence Welk,1961
12,Take Good Care of My Baby,Bobby Vee,1961
13,Running Scared,Roy Orbison,1961
14,Dedicated to the One I Love,The Shirelles,1961
15,Last Night,The Mar-Keys,1961
16,Will You Love Me Tomorrow,The Shirelles,1961
17,Exodus,Ferrante & Teicher,1961
18,Where the Boys Are,Connie Francis,1961
19,Hit the Road Jack,Ray Charles,1961
20,Sad Movies (Make Me Cry),Sue Thompson,1961
21,Mother-in-Law,Ernie K-Doe,1961
22,Bristol Stomp,The Dovells,1961
23,Travelin' Man,Ricky Nelson,1961
24,Shop Around,The Miracles,1961
25,The Boll Weevil Song,Brook Benton,1961
26,A Hundred Pounds of Clay,Gene McDaniels,1961
27,The Mountain's High,Dick and Dee Dee,1961
28,Don't Worry,Marty Robbins,1961
29,On the Rebound,Floyd Cramer,1961
30,Portrait of My Love,Steve Lawrence,1961
31,Quarter to Three,Gary U.S. Bonds,1961
32,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",Barry Mann,1961
33,Calendar Girl,Neil Sedaka,1961
34,I Like It Like That,Chris Kenner,1961
35,Apache,Jørgen Ingmann,1961
36,Don't Bet Money Honey,Linda Scott,1961
37,Without You,Johnny Tillotson,1961
38,Wings of a Dove,Ferlin Husky,1961
39,Little Sister,Elvis Presley,1961
40,Blue Moon,The Marcels,1961
41,Daddy's Home,Shep and the Limelites,1961
42,This Time,Troy Shondell,1961
43,(I Don't Know Why) But I Do,"Clarence ""Frogman"" Henry",1961
44,Asia Minor,Kokomo,1961
45,Hello Walls,Faron Young,1961
46,Runaround Sue,Dion,1961
47,Yellow Bird,Arthur Lyman,1961
48,Hurt,Timi Yuro,1961
49,Hello Mary Lou,Ricky Nelson,1961
50,There's a Moon Out Tonight,The Capris,1961
51,Surrender,Elvis Presley,1961
52,I Love How You Love Me,The Paris Sisters,1961
53,Ya Ya,Lee Dorsey,1961
54,School Is Out,Gary U.S. Bonds,1961
55,Mexico,Bob Moore,1961
56,You Don't Know What You've Got (Until You Lose It),Ral Donner,1961
57,Walk Right Back,The Everly Brothers,1961
58,The Way You Look Tonight,The Lettermen,1961
59,Moody River,Pat Boone,1961
60,One Mint Julep,Ray Charles,1961
61,Take Good Care of Her,Adam Wade,1961
62,Gee Whiz (Look at His Eyes),Carla Thomas,1961
63,Stand by Me,Ben E. King,1961
64,Spanish Harlem,Ben E. King,1961
65,It's Gonna Work Out Fine,Ike and Tina Turner,1961
66,Baby Blue,The Echoes,1961
67,Baby Sittin' Boogie,Buzz Clifford,1961
68,Hats Off to Larry,Del Shannon,1961
69,Those Oldies but Goodies,Little Caesar & the Romans,1961
70,The Fly,Chubby Checker,1961
71,(Marie's the Name) His Latest Flame,Elvis Presley,1961
72,Wonderland by Night,Bert Kaempfert,1961
73,Bless You,Tony Orlando,1961
74,I've Told Every Little Star,Linda Scott,1961
75,One Track Mind,Bobby Lewis,1961
76,Angel Baby,Rosie and the Originals,1961
77,Pretty Little Angel Eyes,Curtis Lee,1961
78,Think Twice,Brook Benton,1961
79,Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),Lonnie Donegan,1961
80,Breakin' in a Brand New Broken Heart,Connie Francis,1961
81,Mama Said,The Shirelles,1961
82,Let the Four Winds Blow,Fats Domino,1961
83,The Writing on the Wall,Adam Wade,1961
84,My Kind of Girl,Matt Monro,1961
85,"Tonight My Love, Tonight",Paul Anka,1961
86,San Antonio Rose,Floyd Cramer,1961
87,Big Bad John,Jimmy Dean,1961
88,Good Time Baby,Bobby Rydell,1961
89,Rubber Ball,Bobby Vee,1961
90,Missing You,Ray Peterson,1961
91,Dum Dum,Brenda Lee,1961
92,I'm Gonna Knock on Your Door,Eddie Hodges,1961
93,You Can Depend on Me,Brenda Lee,1961
94,Let's Twist Again,Chubby Checker,1961
95,Take Five,The Dave Brubeck Quartet,1961
96,Are You Lonesome Tonight?,Elvis Presley,1961
97,Sea of Heartbreak,Don Gibson,1961
98,More Money for You and Me,The Four Preps,1961
99,You Must Have Been a Beautiful Baby,Bobby Darin,1961
100,Please Stay,The Drifters,1961
1,Stranger on the Shore,Acker Bilk,1962
2,I Can't Stop Loving You,Ray Charles,1962
3,Mashed Potato Time,Dee Dee Sharp,1962
4,Roses Are Red (My Love),Bobby Vinton,1962
5,The Stripper,David Rose,1962
6,Johnny Angel,Shelley Fabares,1962
7,The Loco-Motion,Little Eva,1962
8,Let Me In,The Sensations,1962
9,The Twist,Chubby Checker,1962
10,Soldier Boy,The Shirelles,1962
11,Hey! Baby,Bruce Channel,1962
12,The Wanderer,Dion,1962
13,Duke of Earl,Gene Chandler,1962
14,Palisades Park,Freddy Cannon,1962
15,Breaking Up Is Hard to Do,Neil Sedaka,1962
16,Wolverton Mountain,Claude King,1962
17,Slow Twistin',Chubby Checker & Dee Dee Sharp,1962
18,It Keeps Right On a-Hurtin',Johnny Tillotson,1962
19,The One Who Really Loves You,Mary Wells,1962
20,Good Luck Charm,Elvis Presley,1962
21,Midnight in Moscow,Kenny Ball,1962
22,Sheila,Tommy Roe,1962
23,Twistin' the Night Away,Sam Cooke,1962
24,The Wah-Watusi,The Orlons,1962
25,Peppermint Twist,Joey Dee and the Starliters,1962
26,Break It to Me Gently,Brenda Lee,1962
27,Playboy,The Marvelettes,1962
28,Ramblin' Rose,Nat King Cole,1962
29,Sealed with a Kiss,Brian Hyland,1962
30,She Cried,Jay and the Americans,1962
31,Don't Break the Heart That Loves You,Connie Francis,1962
32,Dear Lady Twist,Gary U.S. Bonds,1962
33,Norman,Sue Thompson,1962
34,Love Letters,Ketty Lester,1962
35,Party Lights,Claudine Clark,1962
36,Cotton Fields,The Highwaymen,1962
37,Alley Cat,Bent Fabric,1962
38,Twist and Shout,The Isley Brothers,1962
39,Theme from Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain,1962
40,Tuff,Ace Cannon,1962
41,Lover Please,Clyde McPhatter,1962
42,I Know (You Don't Love Me No More),Barbara George,1962
43,Young World,Ricky Nelson,1962
44,Baby It's You,The Shirelles,1962
45,Speedy Gonzales,Pat Boone,1962
46,A Little Bitty Tear,Burl Ives,1962
47,Crying in the Rain,The Everly Brothers,1962
48,Al di là,Emilio Pericoli,1962
49,Shout! Shout! (Knock Yourself Out),Ernie Maresca,1962
50,What's Your Name,Don and Juan,1962
51,Smoky Places,The Corsairs,1962
52,Having a Party,Sam Cooke,1962
53,Green Onions,Booker T. & the M.G.'s,1962
54,You Don't Know Me,Ray Charles,1962
55,Sherry,The Four Seasons,1962
56,Johnny Get Angry,Joanie Sommers,1962
57,Can't Help Falling in Love,Elvis Presley,1962
58,Shout,Joey Dee and the Starliters,1962
59,Rinky Dink,"Dave ""Baby"" Cortez",1962
60,Moon River,Henry Mancini,1962
61,Ahab the Arab,Ray Stevens,1962
62,Things,Bobby Darin,1962
63,(The Man Who Shot) Liberty Valance,Gene Pitney,1962
64,You Belong to Me,The Duprees,1962
65,Dream Baby (How Long Must I Dream),Roy Orbison,1962
66,Snap Your Fingers,Joe Henderson,1962
67,Lovers Who Wander,Dion,1962
68,Let's Dance,Chris Montez,1962
69,Cindy's Birthday,Johnny Crawford,1962
70,You Beat Me to the Punch,Mary Wells,1962
71,You'll Lose a Good Thing,Barbara Lynn,1962
72,Uptown,The Crystals,1962
73,Everybody Loves Me But You,Brenda Lee,1962
74,Patches,Dickey Lee,1962
75,Venus in Blue Jeans,Jimmy Clanton,1962
76,Love Me Warm and Tender,Paul Anka,1962
77,Teen Age Idol,Rick Nelson,1962
78,She's Got You,Patsy Cline,1962
79,Dear One,Larry Finnegan,1962
80,Her Royal Majesty,James Darren,1962
81,Old Rivers,Walter Brennan,1962
82,Funny Way of Laughin',Burl Ives,1962
83,A Swingin' Safari,Billy Vaughn,1962
84,Tell Me,Dick and Dee Dee,1962
85,PT-109,Jimmy Dean,1962
86,Little Diane,Dion,1962
87,Percolator (Twist),Billy Joe and the Checkmates,1962
88,"Twist, Twist Senora",Gary U.S. Bonds,1962
89,Twistin' Matilda,Jimmy Soul,1962
90,Gravy (For My Mashed Potatoes),Dee Dee Sharp,1962
91,Walk on the Wild Side,Jimmy Smith,1962
92,Soul Twist,King Curtis,1962
93,I'll Never Dance Again,Bobby Rydell,1962
94,I'm Blue (The Gong-Gong Song),The Ikettes,1962
95,Where Have All the Flowers Gone?,The Kingston Trio,1962
96,"(Girls, Girls, Girls) Made to Love",Eddie Hodges,1962
97,Town Without Pity,Gene Pitney,1962
98,If I Had a Hammer,"Peter, Paul and Mary",1962
99,I Wish That We Were Married,Ronnie & the Hi-Lites,1962
100,Surfin' Safari,The Beach Boys,1962
1,Surfin' U.S.A.,The Beach Boys,1963
2,The End of the World,Skeeter Davis,1963
3,Rhythm of the Rain,The Cascades,1963
4,He's So Fine,The Chiffons,1963
5,Blue Velvet,Bobby Vinton,1963
6,Hey Paula,Paul & Paula,1963
7,Fingertips,Little Stevie Wonder,1963
8,Can't Get Used to Losing You,Andy Williams,1963
9,My Boyfriend's Back,The Angels,1963
10,Sukiyaki,Kyu Sakamoto,1963
11,So Much in Love,The Tymes,1963
12,"Puff, the Magic Dragon","Peter, Paul and Mary",1963
13,Blowin' in the Wind,"Peter, Paul and Mary",1963
14,Wipe Out,The Surfaris,1963
15,I Love You Because,Al Martino,1963
16,Wild Weekend,The Rebels,1963
17,You're the Reason I'm Living,Bobby Darin,1963
18,Walk Like a Man,The Four Seasons,1963
19,Mockingbird,Inez and Charlie Foxx,1963
20,I Will Follow Him,Little Peggy March,1963
21,Pipeline,The Chantays,1963
22,Surf City,Jan and Dean,1963
23,It's My Party,Lesley Gore,1963
24,Blame It on the Bossa Nova,Eydie Gormé,1963
25,You Can't Sit Down,The Dovells,1963
26,Heat Wave,Martha and the Vandellas,1963
27,Denise,Randy & the Rainbows,1963
28,Walk Right In,The Rooftop Singers,1963
29,If You Wanna Be Happy,Jimmy Soul,1963
30,If I Had a Hammer,Trini Lopez,1963
31,Easier Said Than Done,The Essex,1963
32,Ruby Baby,Dion,1963
33,Our Day Will Come,Ruby & the Romantics,1963
34,Hello Stranger,Barbara Lewis,1963
35,Be My Baby,The Ronettes,1963
36,South Street,The Orlons,1963
37,Days of Wine and Roses,Henry Mancini,1963
38,The Monkey Time,Major Lance,1963
39,Candy Girl,The Four Seasons,1963
40,Sugar Shack,Jimmy Gilmer and the Fireballs,1963
41,Still,Bill Anderson,1963
42,Blue on Blue,Bobby Vinton,1963
43,Cry Baby,Garnet Mimms & the Enchanters,1963
44,Two Faces Have I,Lou Christie,1963
45,Busted,Ray Charles,1963
46,Da Doo Ron Ron,The Crystals,1963
47,Foolish Little Girl,The Shirelles,1963
48,Memphis,Lonnie Mack,1963
49,In Dreams,Roy Orbison,1963
50,More,Kai Winding,1963
51,I Can't Stay Mad at You,Skeeter Davis,1963
52,Losing You,Brenda Lee,1963
53,Mean Woman Blues,Roy Orbison,1963
54,Our Winter Love,Bill Pursell,1963
55,I Wanna Be Around,Tony Bennett,1963
56,You've Really Got a Hold on Me,The Miracles,1963
57,Sally Go 'Round the Roses,The Jaynetts,1963
58,(You're the) Devil in Disguise,Elvis Presley,1963
59,Those Lazy-Hazy-Crazy Days of Summer,Nat King Cole,1963
60,Baby Workout,Jackie Wilson,1963
61,Pride and Joy,Marvin Gaye,1963
62,Deep Purple,Nino Tempo & April Stevens,1963
63,From a Jack to a King,Ned Miller,1963
64,Up on the Roof,The Drifters,1963
65,What Will Mary Say,Johnny Mathis,1963
66,Mama Didn't Lie,Jan Bradley,1963
67,The Night Has a Thousand Eyes,Bobby Vee,1963
68,Don't Say Nothin' Bad (About My Baby),The Cookies,1963
69,Ring of Fire,Johnny Cash,1963
70,Just One Look,Doris Troy,1963
71,"Hello Muddah, Hello Fadduh (A Letter from Camp)",Allan Sherman,1963
72,Judy's Turn to Cry,Lesley Gore,1963
73,"Tie Me Kangaroo Down, Sport",Rolf Harris,1963
74,Fools Rush In,Rick Nelson,1963
75,Washington Square,The Village Stompers,1963
76,Donna the Prima Donna,Dion,1963
77,"That Sunday, That Summer",Nat King Cole,1963
78,Another Saturday Night,Sam Cooke,1963
79,"Painted, Tainted Rose",Al Martino,1963
80,Go Away Little Girl,Steve Lawrence,1963
81,Take These Chains from My Heart,Ray Charles,1963
82,Talk to Me,Sunny & the Sunglows,1963
83,Come and Get These Memories,Martha and the Vandellas,1963
84,Do the Bird,Dee Dee Sharp,1963
85,It's All Right,The Impressions,1963
86,Shut Down,The Beach Boys,1963
87,One Fine Day,The Chiffons,1963
88,Little Town Flirt,Del Shannon,1963
89,Fly Me to the Moon,Joe Harnell,1963
90,The Reverend Mr. Black,The Kingston Trio,1963
91,Hot Pastrami,The Dartells,1963
92,Martian Hop,The Ran-Dells,1963
93,Wonderful! Wonderful!,The Tymes,1963
94,Abilene,George Hamilton IV,1963
95,Part Time Love,Little Johnny Taylor,1963
96,Maria Elena,Los Indios Tabajaras,1963
97,Detroit City,Bobby Bare,1963
98,Twenty Miles,Chubby Checker,1963
99,"Green, Green",The New Christy Minstrels,1963
100,Hey Girl,Freddie Scott,1963
1,I Want to Hold Your Hand,The Beatles,1964
2,She Loves You,The Beatles,1964
3,"Hello, Dolly!",Louis Armstrong,1964
4,"Oh, Pretty Woman",Roy Orbison,1964
5,I Get Around,The Beach Boys,1964
6,Everybody Loves Somebody,Dean Martin,1964
7,My Guy,Mary Wells,1964
8,We'll Sing in the Sunshine,Gale Garnett,1964
9,Last Kiss,J. Frank Wilson and the Cavaliers,1964
10,Where Did Our Love Go,The Supremes,1964
11,People,Barbra Streisand,1964
12,Java,Al Hirt,1964
13,A Hard Day's Night,The Beatles,1964
14,Love Me Do,The Beatles,1964
15,Do Wah Diddy Diddy,Manfred Mann,1964
16,Please Please Me,The Beatles,1964
17,Dancing in the Street,Martha and the Vandellas,1964
18,Little Children,Billy J. Kramer & The Dakotas,1964
19,Love Me with All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers,1964
20,Under the Boardwalk,The Drifters,1964
21,Chapel of Love,The Dixie Cups,1964
22,Suspicion,Terry Stafford,1964
23,Glad All Over,The Dave Clark Five,1964
24,Rag Doll,The Four Seasons,1964
25,Dawn (Go Away),The Four Seasons,1964
26,Bread and Butter,The Newbeats,1964
27,It Hurts to Be in Love,Gene Pitney,1964
28,Dead Man's Curve,Jan and Dean,1964
29,Come a Little Bit Closer,Jay and the Americans,1964
30,A World Without Love,Peter and Gordon,1964
31,Have I the Right?,The Honeycombs,1964
32,Don't Let the Rain Come Down (Crooked Little Man),The Serendipity Singers,1964
33,Baby Love,The Supremes,1964
34,Let It Be Me,Betty Everett & Jerry Butler,1964
35,Wishin' and Hopin',Dusty Springfield,1964
36,You Don't Own Me,Lesley Gore,1964
37,Walk On By,Dionne Warwick,1964
38,The House of the Rising Sun,The Animals,1964
39,G.T.O.,Ronny & the Daytonas,1964
40,Twist and Shout,The Beatles,1964
41,Memphis,Johnny Rivers,1964
42,White on White,Danny Williams,1964
43,Hey Little Cobra,The Rip Chords,1964
44,The Shoop Shoop Song (It's in His Kiss),Betty Everett,1964
45,Bits and Pieces,The Dave Clark Five,1964
46,My Boy Lollipop,Millie Small,1964
47,"Um, Um, Um, Um, Um, Um",Major Lance,1964
48,The Little Old Lady (from Pasadena),Jan and Dean,1964
49,Don't Let the Sun Catch You Crying,Gerry and the Pacemakers,1964
50,A Summer Song,Chad & Jeremy,1964
51,The Girl from Ipanema,Stan Getz & Astrud Gilberto,1964
52,Can't Buy Me Love,The Beatles,1964
53,Remember (Walking in the Sand),The Shangri-Las,1964
54,C'mon and Swim,Bobby Freeman,1964
55,Do You Want to Know a Secret,The Beatles,1964
56,Keep On Pushing,The Impressions,1964
57,Baby I Need Your Loving,Four Tops,1964
58,Navy Blue,Diane Renay,1964
59,Diane,The Bachelors,1964
60,Out of Limits,The Marketts,1964
61,Little Honda,The Hondells,1964
62,Chug-a-Lug,Roger Miller,1964
63,See the Funny Little Clown,Bobby Goldsboro,1964
64,Because,The Dave Clark Five,1964
65,(Just Like) Romeo and Juliet,The Reflections,1964
66,For You,Rick Nelson,1964
67,Today,The New Christy Minstrels,1964
68,Can't You See That She's Mine,The Dave Clark Five,1964
69,Leader of the Pack,The Shangri-Las,1964
70,Funny How Time Slips Away,Joe Hinton,1964
71,The Way You Do the Things You Do,The Temptations,1964
72,Anyone Who Had a Heart,Dionne Warwick,1964
73,I Love You More and More Every Day,Al Martino,1964
74,It's Over,Roy Orbison,1964
75,Ronnie,The Four Seasons,1964
76,Surfin' Bird,The Trashmen,1964
77,What Kind of Fool (Do You Think I Am),The Tams,1964
78,The Door Is Still Open to My Heart,Dean Martin,1964
79,You Really Got Me,The Kinks,1964
80,The Shelter of Your Arms,Sammy Davis Jr.,1964
81,I'm So Proud,The Impressions,1964
82,I Wanna Love Him So Bad,The Jelly Beans,1964
83,Dang Me,Roger Miller,1964
84,Cotton Candy,Al Hirt,1964
85,(You Don't Know) How Glad I Am,Nancy Wilson,1964
86,Money (That's What I Want),The Kingsmen,1964
87,Don't Throw Your Love Away,The Searchers,1964
88,Hi-Heel Sneakers,Tommy Tucker,1964
89,How Do You Do It?,Gerry and the Pacemakers,1964
90,"Walk, Don't Run '64",The Ventures,1964
91,Do You Love Me,The Dave Clark Five,1964
92,Shangri-La,Robert Maxwell,1964
93,Haunted House,Jumpin' Gene Simmons,1964
94,Steal Away,Jimmy Hughes,1964
95,I Saw Her Standing There,The Beatles,1964
96,A Fool Never Learns,Andy Williams,1964
97,Bad to Me,Billy J. Kramer & The Dakotas,1964
98,There! I've Said It Again,Bobby Vinton,1964
99,Louie Louie,The Kingsmen,1964
100,Needles and Pins,The Searchers,1964
1,Wooly Bully,Sam the Sham and the Pharaohs,1965
2,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965
3,(I Can't Get No) Satisfaction,The Rolling Stones,1965
4,You Were on My Mind,We Five,1965
5,You've Lost That Lovin' Feelin',The Righteous Brothers,1965
6,Downtown,Petula Clark,1965
7,Help!,The Beatles,1965
